input_file,base_file,temp,shifts,time_step,mineral,multiplier
job001_MikeSorghum_0.01.pqi,Beerling_Clean_V3.pqi,5,100,1578249.044,MikeSorghum,0.01
job002_MikeSorghum_0.1.pqi,Beerling_Clean_V3.pqi,5,100,1578249.044,MikeSorghum,0.1
job003_MikeSorghum_1.pqi,Beerling_Clean_V3.pqi,5,100,1578249.044,MikeSorghum,1
job004_MikeSorghum_10.pqi,Beerling_Clean_V3.pqi,5,100,1578249.044,MikeSorghum,10
job005_MikeSorghum_100.pqi,Beerling_Clean_V3.pqi,5,100,1578249.044,MikeSorghum,100
job006_Quartz_0.01.pqi,Beerling_Clean_V3.pqi,5,100,1578249.044,Quartz,0.01
job007_Quartz_0.1.pqi,Beerling_Clean_V3.pqi,5,100,1578249.044,Quartz,0.1
job008_Quartz_1.pqi,Beerling_Clean_V3.pqi,5,100,1578249.044,Quartz,1
job009_Quartz_10.pqi,Beerling_Clean_V3.pqi,5,100,1578249.044,Quartz,10
job010_Quartz_100.pqi,Beerling_Clean_V3.pqi,5,100,1578249.044,Quartz,100
job011_Plagioclase_0.01.pqi,Beerling_Clean_V3.pqi,5,100,1578249.044,Plagioclase,0.01
job012_Plagioclase_0.1.pqi,Beerling_Clean_V3.pqi,5,100,1578249.044,Plagioclase,0.1
job013_Plagioclase_1.pqi,Beerling_Clean_V3.pqi,5,100,1578249.044,Plagioclase,1
job014_Plagioclase_10.pqi,Beerling_Clean_V3.pqi,5,100,1578249.044,Plagioclase,10
job015_Plagioclase_100.pqi,Beerling_Clean_V3.pqi,5,100,1578249.044,Plagioclase,100
job016_Apatite_0.01.pqi,Beerling_Clean_V3.pqi,5,100,1578249.044,Apatite,0.01
job017_Apatite_0.1.pqi,Beerling_Clean_V3.pqi,5,100,1578249.044,Apatite,0.1
job018_Apatite_1.pqi,Beerling_Clean_V3.pqi,5,100,1578249.044,Apatite,1
job019_Apatite_10.pqi,Beerling_Clean_V3.pqi,5,100,1578249.044,Apatite,10
job020_Apatite_100.pqi,Beerling_Clean_V3.pqi,5,100,1578249.044,Apatite,100
job021_Diopside_Mn_0.01.pqi,Beerling_Clean_V3.pqi,5,100,1578249.044,Diopside_Mn,0.01
job022_Diopside_Mn_0.1.pqi,Beerling_Clean_V3.pqi,5,100,1578249.044,Diopside_Mn,0.1
job023_Diopside_Mn_1.pqi,Beerling_Clean_V3.pqi,5,100,1578249.044,Diopside_Mn,1
job024_Diopside_Mn_10.pqi,Beerling_Clean_V3.pqi,5,100,1578249.044,Diopside_Mn,10
job025_Diopside_Mn_100.pqi,Beerling_Clean_V3.pqi,5,100,1578249.044,Diopside_Mn,100
job026_Diopside_0.01.pqi,Beerling_Clean_V3.pqi,5,100,1578249.044,Diopside,0.01
job027_Diopside_0.1.pqi,Beerling_Clean_V3.pqi,5,100,1578249.044,Diopside,0.1
job028_Diopside_1.pqi,Beerling_Clean_V3.pqi,5,100,1578249.044,Diopside,1
job029_Diopside_10.pqi,Beerling_Clean_V3.pqi,5,100,1578249.044,Diopside,10
job030_Diopside_100.pqi,Beerling_Clean_V3.pqi,5,100,1578249.044,Diopside,100
job031_Olivine_0.01.pqi,Beerling_Clean_V3.pqi,5,100,1578249.044,Olivine,0.01
job032_Olivine_0.1.pqi,Beerling_Clean_V3.pqi,5,100,1578249.044,Olivine,0.1
job033_Olivine_1.pqi,Beerling_Clean_V3.pqi,5,100,1578249.044,Olivine,1
job034_Olivine_10.pqi,Beerling_Clean_V3.pqi,5,100,1578249.044,Olivine,10
job035_Olivine_100.pqi,Beerling_Clean_V3.pqi,5,100,1578249.044,Olivine,100
job036_Alkali-feldspar_0.01.pqi,Beerling_Clean_V3.pqi,5,100,1578249.044,Alkali-feldspar,0.01
job037_Alkali-feldspar_0.1.pqi,Beerling_Clean_V3.pqi,5,100,1578249.044,Alkali-feldspar,0.1
job038_Alkali-feldspar_1.pqi,Beerling_Clean_V3.pqi,5,100,1578249.044,Alkali-feldspar,1
job039_Alkali-feldspar_10.pqi,Beerling_Clean_V3.pqi,5,100,1578249.044,Alkali-feldspar,10
job040_Alkali-feldspar_100.pqi,Beerling_Clean_V3.pqi,5,100,1578249.044,Alkali-feldspar,100
job041_Montmorillonite_0.01.pqi,Beerling_Clean_V3.pqi,5,100,1578249.044,Montmorillonite,0.01
job042_Montmorillonite_0.1.pqi,Beerling_Clean_V3.pqi,5,100,1578249.044,Montmorillonite,0.1
job043_Montmorillonite_1.pqi,Beerling_Clean_V3.pqi,5,100,1578249.044,Montmorillonite,1
job044_Montmorillonite_10.pqi,Beerling_Clean_V3.pqi,5,100,1578249.044,Montmorillonite,10
job045_Montmorillonite_100.pqi,Beerling_Clean_V3.pqi,5,100,1578249.044,Montmorillonite,100
job046_Ilmenite_0.01.pqi,Beerling_Clean_V3.pqi,5,100,1578249.044,Ilmenite,0.01
job047_Ilmenite_0.1.pqi,Beerling_Clean_V3.pqi,5,100,1578249.044,Ilmenite,0.1
job048_Ilmenite_1.pqi,Beerling_Clean_V3.pqi,5,100,1578249.044,Ilmenite,1
job049_Ilmenite_10.pqi,Beerling_Clean_V3.pqi,5,100,1578249.044,Ilmenite,10
job050_Ilmenite_100.pqi,Beerling_Clean_V3.pqi,5,100,1578249.044,Ilmenite,100
job051_Glass_0.01.pqi,Beerling_Clean_V3.pqi,5,100,1578249.044,Glass,0.01
job052_Glass_0.1.pqi,Beerling_Clean_V3.pqi,5,100,1578249.044,Glass,0.1
job053_Glass_1.pqi,Beerling_Clean_V3.pqi,5,100,1578249.044,Glass,1
job054_Glass_10.pqi,Beerling_Clean_V3.pqi,5,100,1578249.044,Glass,10
